SampleID,Sex,Generation,F,J,K,L
1320,F,2,1,1,1,1
1342,M,2,1,1,1,1
5040-1,F,3,1,1,1,1
5040-2,F,3,1,1,1,1
5040-3,F,3,1,1,1,1
5040-4,F,3,1,1,1,1
5040-5,F,3,1,1,1,1
5040-6,F,3,1,1,1,1
5040-7,M,3,1,1,1,1
5041-1,F,3,1,1,1,1
5041-2,F,3,1,1,1,1
5041-3,F,3,1,1,1,1
5041-4,M,3,1,1,1,1
5041-5,M,3,1,1,1,1
5041-6,M,3,1,1,1,1
5041-7,M,3,1,1,1,1
1301,F,2,1,1,1,1
1339,M,2,1,1,1,1
4990-1,F,3,1,1,1,1
4990-2,F,3,1,1,1,1
4990-3,F,3,1,1,1,1
4990-4,F,3,1,1,1,1
4990-5,F,3,1,1,1,1
4990-6,M,3,1,1,1,1
4990-7,M,3,1,1,1,1
4991-1,F,3,1,1,1,1
4991-2,F,3,1,1,1,1
4991-3,F,3,1,1,1,1
4991-4,F,3,1,1,1,1
4991-5,F,3,1,1,1,1
4991-6,M,3,1,1,1,1
4991-7,M,3,1,1,1,1
1328,F,2,1,1,1,1
1314,M,2,1,1,1,1
5060-1,F,3,1,1,1,1
5060-2,F,3,1,1,1,1
5060-3,F,3,1,1,1,1
5060-4,F,3,1,1,1,1
5060-5,F,3,1,1,1,1
5060-6,M,3,1,1,1,1
5060-7,M,3,1,1,1,1
5061-1,F,3,1,1,1,1
5061-2,F,3,1,1,1,1
5061-3,F,3,1,1,1,1
5061-4,F,3,1,1,1,1
5061-5,F,3,1,1,1,1
5061-6,F,3,1,1,1,1
5061-7,M,3,1,1,1,1
